Strigatreatment_selection,strigapest,plot_data_id,county
FarmerOwnPractice,red_light,494,HOMABAY
Lablab,yellow_light,495,HOMABAY
Soyabean,yellow_light,496,HOMABAY
Desmodium,yellow_light,497,HOMABAY
Lablab,yellow_light,498,HOMABAY
FarmerOwnPractice,red_light,499,HOMABAY
Lablab,yellow_light,500,HOMABAY
Soyabean,yellow_light,501,HOMABAY
FarmerOwnPractice,yellow_light,502,HOMABAY
Lablab,yellow_light,503,HOMABAY
Soyabean,yellow_light,504,HOMABAY
FarmerOwnPractice,red_light,505,HOMABAY
Lablab,yellow_light,506,HOMABAY
Soyabean,yellow_light,507,HOMABAY
FarmerOwnPractice,red_light,508,HOMABAY
Lablab,yellow_light,509,HOMABAY
Soyabean,yellow_light,510,HOMABAY
FarmerOwnPractice,red_light,511,HOMABAY
Desmodium,yellow_light,30,HOMABAY
Soyabean,yellow_light,31,HOMABAY
Manure,yellow_light,32,HOMABAY
FarmerOwnPractice,yellow_light,33,HOMABAY
Desmodium,red_light,34,HOMABAY
Soyabean,yellow_light,35,HOMABAY
Manure,yellow_light,36,HOMABAY
FarmerOwnPractice,yellow_light,37,HOMABAY
Desmodium,yellow_light,38,HOMABAY
Soyabean,yellow_light,39,HOMABAY
Manure,yellow_light,40,HOMABAY
Desmodium,green_light,41,KISUMU
Soyabean,green_light,42,KISUMU
Manure,green_light,43,KISUMU
Desmodium,yellow_light,44,KISUMU
Soyabean,yellow_light,45,KISUMU
Manure,yellow_light,46,KISUMU
Lablab,green_light,47,KISUMU
Manure,green_light,48,KISUMU
Lablab,green_light,49,KISUMU
Soyabean,yellow_light,50,KISUMU
Manure,green_light,51,KISUMU
Desmodium,green_light,52,MIGORI
Lablab,yellow_light,53,MIGORI
Manure,green_light,54,MIGORI
FarmerOwnPractice,red_light,55,MIGORI
Desmodium,green_light,56,MIGORI
Lablab,green_light,57,MIGORI
Manure,green_light,58,MIGORI
Desmodium,green_light,59,MIGORI
Lablab,green_light,60,MIGORI
Manure,green_light,61,MIGORI
FarmerOwnPractice,red_light,62,MIGORI
Lablab,yellow_light,63,MIGORI
Manure,green_light,64,MIGORI
FarmerOwnPractice,red_light,65,MIGORI
Desmodium,yellow_light,66,MIGORI
Soyabean,green_light,67,MIGORI
Manure,green_light,68,MIGORI
Desmodium,yellow_light,69,MIGORI
Soyabean,yellow_light,70,MIGORI
Manure,yellow_light,71,MIGORI
FarmerOwnPractice,red_light,72,MIGORI
Soyabean,green_light,73,MIGORI
Manure,green_light,74,MIGORI
FarmerOwnPractice,yellow_light,75,MIGORI
Lablab,yellow_light,76,MIGORI
Manure,yellow_light,77,MIGORI
FarmerOwnPractice,red_light,78,MIGORI
Soyabean,green_light,79,MIGORI
Manure,green_light,80,MIGORI
FarmerOwnPractice,green_light,81,MIGORI
Soyabean,green_light,82,MIGORI
Manure,green_light,83,MIGORI
FarmerOwnPractice,green_light,84,MIGORI
Desmodium,yellow_light,85,MIGORI
Soyabean,yellow_light,86,MIGORI
Manure,green_light,87,MIGORI
FarmerOwnPractice,red_light,88,MIGORI
Desmodium,green_light,89,MIGORI
Lablab,green_light,90,MIGORI
Manure,yellow_light,91,MIGORI
FarmerOwnPractice,yellow_light,92,MIGORI
Lablab,yellow_light,93,MIGORI
FarmerOwnPractice,red_light,94,MIGORI
Soyabean,green_light,95,MIGORI
Manure,green_light,96,MIGORI
FarmerOwnPractice,yellow_light,97,MIGORI
Lablab,yellow_light,98,MIGORI
Manure,green_light,99,MIGORI
FarmerOwnPractice,green_light,100,MIGORI
Lablab,yellow_light,101,MIGORI
Manure,green_light,102,MIGORI
FarmerOwnPractice,yellow_light,103,MIGORI
Desmodium,yellow_light,104,MIGORI
Soyabean,green_light,105,MIGORI
Manure,yellow_light,106,MIGORI
FarmerOwnPractice,red_light,107,MIGORI
Soyabean,yellow_light,108,MIGORI
Manure,green_light,109,MIGORI
FarmerOwnPractice,yellow_light,110,MIGORI
Soyabean,green_light,111,MIGORI
Manure,green_light,112,MIGORI
FarmerOwnPractice,yellow_light,113,MIGORI
Desmodium,yellow_light,114,KISUMU
Soyabean,yellow_light,115,KISUMU
Manure,yellow_light,116,KISUMU
FarmerOwnPractice,yellow_light,117,KISUMU
Desmodium,yellow_light,118,KISUMU
Soyabean,yellow_light,119,KISUMU
Manure,yellow_light,120,KISUMU
FarmerOwnPractice,yellow_light,121,KISUMU
Desmodium,yellow_light,122,KISUMU
Lablab,yellow_light,123,KISUMU
Manure,green_light,124,KISUMU
Desmodium,green_light,125,KISUMU
Lablab,yellow_light,126,KISUMU
Manure,yellow_light,127,KISUMU
FarmerOwnPractice,yellow_light,128,KISUMU
Desmodium,green_light,129,MIGORI
Lablab,green_light,130,MIGORI
Manure,green_light,131,MIGORI
Desmodium,green_light,132,MIGORI
Soyabean,green_light,133,MIGORI
FarmerOwnPractice,green_light,134,MIGORI
\N,red_light,135,MIGORI
Desmodium,red_light,136,KISUMU
Lablab,yellow_light,137,KISUMU
Manure,yellow_light,138,KISUMU
FarmerOwnPractice,yellow_light,139,KISUMU
Desmodium,red_light,140,KISUMU
Soyabean,yellow_light,141,KISUMU
Manure,yellow_light,142,KISUMU
FarmerOwnPractice,yellow_light,143,KISUMU
Lablab,yellow_light,144,KISUMU
Manure,green_light,145,KISUMU
FarmerOwnPractice,yellow_light,146,KISUMU
Desmodium,green_light,147,KISUMU
Lablab,yellow_light,148,KISUMU
Manure,yellow_light,149,KISUMU
FarmerOwnPractice,yellow_light,150,KISUMU
Desmodium,green_light,151,KISUMU
Lablab,yellow_light,152,KISUMU
Manure,yellow_light,153,KISUMU
FarmerOwnPractice,green_light,154,KISUMU
Desmodium,green_light,155,MIGORI
Lablab,green_light,156,MIGORI
Manure,green_light,157,MIGORI
FarmerOwnPractice,yellow_light,158,MIGORI
Soyabean,yellow_light,159,KISUMU
Manure,yellow_light,160,KISUMU
FarmerOwnPractice,yellow_light,161,KISUMU
\N,yellow_light,162,KISUMU
Desmodium,green_light,163,KISUMU
Soyabean,green_light,164,KISUMU
Manure,yellow_light,165,KISUMU
FarmerOwnPractice,green_light,166,KISUMU
Desmodium,yellow_light,167,KISUMU
Soyabean,yellow_light,168,KISUMU
Manure,yellow_light,169,KISUMU
FarmerOwnPractice,yellow_light,170,KISUMU
Desmodium,yellow_light,171,KISUMU
Soyabean,yellow_light,172,KISUMU
Manure,yellow_light,173,KISUMU
FarmerOwnPractice,green_light,174,KISUMU
Desmodium,yellow_light,175,KISUMU
Lablab,yellow_light,176,KISUMU
Manure,yellow_light,177,KISUMU
FarmerOwnPractice,yellow_light,178,KISUMU
Desmodium,yellow_light,179,KISUMU
Soyabean,yellow_light,180,KISUMU
Manure,yellow_light,181,KISUMU
FarmerOwnPractice,yellow_light,182,KISUMU
Desmodium,green_light,183,MIGORI
Soyabean,green_light,184,MIGORI
Manure,green_light,185,MIGORI
FarmerOwnPractice,red_light,186,MIGORI
Desmodium,green_light,187,MIGORI
Lablab,yellow_light,188,MIGORI
Manure,yellow_light,189,MIGORI
FarmerOwnPractice,yellow_light,190,MIGORI
Desmodium,green_light,191,MIGORI
Manure,green_light,192,MIGORI
FarmerOwnPractice,red_light,193,MIGORI
Lablab,yellow_light,194,MIGORI
Manure,green_light,195,MIGORI
FarmerOwnPractice,green_light,196,MIGORI
Desmodium,yellow_light,197,HOMABAY
Soyabean,yellow_light,198,HOMABAY
Manure,yellow_light,199,HOMABAY
FarmerOwnPractice,yellow_light,200,HOMABAY
Desmodium,yellow_light,201,HOMABAY
Lablab,yellow_light,202,HOMABAY
Manure,yellow_light,203,HOMABAY
FarmerOwnPractice,yellow_light,204,HOMABAY
Desmodium,yellow_light,205,HOMABAY
Soyabean,yellow_light,206,HOMABAY
Manure,yellow_light,207,HOMABAY
FarmerOwnPractice,yellow_light,208,HOMABAY
Desmodium,yellow_light,209,HOMABAY
